Model,Type,n_qubits_or_input,Params,Gates_or_MACs,Param_Memory_KB,Sim_State_Memory_MB,Train_Time_s,F1
"MLP[8, 8]",classical,2,105,88,0.41015625,,0.0272371768951416,0.4927536231884058
"MLP[16, 16]",classical,2,337,304,1.31640625,,0.028310060501098633,0.6060606060606061
"MLP[32, 32]",classical,2,1185,1120,4.62890625,,0.025974035263061523,0.4918032786885246
"VQCAnsatz(strong, angle)",quantum,2,12,18,0.046875,6.103515625e-05,0.3169410228729248,0.45569620253164556
"VQCAnsatz(strong, iqp)",quantum,2,12,26,0.046875,6.103515625e-05,0.3859128952026367,0.7368421052631579
"MLP[8, 8]",classical,4,121,104,0.47265625,,0.027666091918945312,0.6046511627906976
"MLP[16, 16]",classical,4,369,336,1.44140625,,0.027899742126464844,0.4827586206896552
"MLP[32, 32]",classical,4,1249,1184,4.87890625,,0.02793598175048828,0.704225352112676
"VQCAnsatz(strong, angle)",quantum,4,24,36,0.09375,0.000244140625,0.735504150390625,0.49122807017543857
"VQCAnsatz(strong, iqp)",quantum,4,24,60,0.09375,0.000244140625,1.062384843826294,0.5483870967741935
"MLP[8, 8]",classical,6,137,120,0.53515625,,0.02649998664855957,0.5573770491803278
"MLP[16, 16]",classical,6,401,368,1.56640625,,0.02835822105407715,0.4918032786885246
"MLP[32, 32]",classical,6,1313,1248,5.12890625,,0.03911089897155762,0.6376811594202898
"VQCAnsatz(strong, angle)",quantum,6,36,54,0.140625,0.0009765625,1.611659049987793,0.5074626865671642
"VQCAnsatz(strong, iqp)",quantum,6,36,102,0.140625,0.0009765625,2.7291979789733887,0.7294117647058823
"MLP[8, 8]",classical,8,153,136,0.59765625,,0.026607990264892578,0.3333333333333333
"MLP[16, 16]",classical,8,433,400,1.69140625,,0.015570878982543945,0.5
"MLP[32, 32]",classical,8,1377,1312,5.37890625,,0.03357100486755371,0.6060606060606061
"VQCAnsatz(strong, angle)",quantum,8,48,72,0.1875,0.00390625,4.625859022140503,0.33962264150943394
"VQCAnsatz(strong, iqp)",quantum,8,48,152,0.1875,0.00390625,12.584843873977661,0.4727272727272727
"MLP[8, 8]",classical,10,169,152,0.66015625,,0.026955127716064453,0.5423728813559322
"MLP[16, 16]",classical,10,465,432,1.81640625,,0.028726816177368164,0.6268656716417911
"MLP[32, 32]",classical,10,1441,1376,5.62890625,,0.036643028259277344,0.6268656716417911
"VQCAnsatz(strong, angle)",quantum,10,60,90,0.234375,0.015625,22.495961904525757,0.41509433962264153
"VQCAnsatz(strong, iqp)",quantum,10,60,210,0.234375,0.015625,56.13077092170715,0.7294117647058823
