TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2019-01-04,2406.5,0.0130072402761407,1.2019,7.75,5.0,4.0
2019-01-08,2389.69,-0.0069852482858923,1.2019,7.75,5.0,4.0
2019-01-09,2414.13,0.0102272679719963,1.2019,7.75,5.0,4.0
2019-01-10,2434.15,0.0082928425561175,1.2019,7.75,5.0,4.0
2019-01-11,2444.45,0.0042314565659469,1.2019,7.75,5.0,4.0
2019-01-14,2440.15,-0.0017590869111659,1.2019,7.75,5.0,4.0
2019-01-15,2439.55,-0.0002458865233694,1.2019,7.75,5.0,4.0
2019-01-16,2434.6,-0.0020290627369803,1.2019,7.75,5.0,4.0
2019-01-17,2447.64,0.0053561159944137,1.2019,7.75,5.0,4.0
2019-01-18,2473.61,0.0106102204572569,1.2019,7.75,5.0,4.0
2019-01-21,2468.25,-0.0021668735168438,1.2019,7.75,5.0,4.0
2019-01-22,2468.73,0.0001944697660285,1.2019,7.75,5.0,4.0
2019-01-23,2491.49,0.0092193151944521,1.2019,7.75,5.0,4.0
2019-01-24,2482.71,-0.003523995681299,1.2019,7.75,5.0,4.0
2019-01-25,2498.23,0.0062512335311011,1.2019,7.75,5.0,4.0
2019-01-28,2476.81,-0.0085740704418728,1.2019,7.75,5.0,4.0
2019-01-29,2498.35,0.0086966703138311,1.2019,7.75,5.0,4.0
2019-01-30,2511.86,0.005407568995537,1.2019,7.75,5.0,4.0
2019-01-31,2521.1,0.0036785489637161,1.2019,7.75,5.0,4.0
2019-02-01,2521.7,0.0002379913529808,2.2019,7.75,5.2,4.0
2019-02-04,2523.52,0.0007217353372725,2.2019,7.75,5.2,4.0
2019-02-05,2547.27,0.009411457012427,2.2019,7.75,5.2,4.0
2019-02-06,2539.73,-0.0029600317202338,2.2019,7.75,5.2,4.0
2019-02-07,2509.89,-0.0117492804353219,2.2019,7.75,5.2,4.0
2019-02-08,2502.82,-0.002816856515624,2.2019,7.75,5.2,4.0
2019-02-11,2510.22,0.0029566648820129,2.2019,7.75,5.2,4.0
2019-02-12,2533.32,0.00920238066783,2.2019,7.75,5.2,4.0
2019-02-13,2485.76,-0.0187737830199106,2.2019,7.75,5.2,4.0
2019-02-14,2460.82,-0.0100331488156539,2.2019,7.75,5.2,4.0
2019-02-15,2490.16,0.0119228549832981,2.2019,7.75,5.2,4.0
2019-02-18,2472.41,-0.0071280560285282,2.2019,7.75,5.2,4.0
2019-02-19,2458.55,-0.0056058663409385,2.2019,7.75,5.2,4.0
2019-02-20,2487.82,0.0119053913892335,2.2019,7.75,5.2,4.0
2019-02-21,2470.23,-0.0070704472188503,2.2019,7.75,5.2,4.0
2019-02-22,2488.63,0.0074486991089899,2.2019,7.75,5.2,4.0
2019-02-25,2494.63,0.0024109650691344,2.2019,7.75,5.2,4.0
2019-02-26,2494.02,-0.000244525240216,2.2019,7.75,5.2,4.0
2019-02-27,2490.65,-0.0013512321472962,2.2019,7.75,5.2,4.0
2019-02-28,2485.27,-0.0021600786943167,2.2019,7.75,5.2,4.0
2019-03-01,2478.01,-0.0029212117798065,3.2019,7.75,5.3,4.0
2019-03-04,2473.79,-0.0017029794068628,3.2019,7.75,5.3,4.0
2019-03-05,2466.23,-0.0030560395183099,3.2019,7.75,5.3,4.0
2019-03-06,2494.04,0.011276320537825,3.2019,7.75,5.3,4.0
2019-03-07,2476.64,-0.0069766322913826,3.2019,7.75,5.3,4.0
2019-03-11,2465.94,-0.0043203695329154,3.2019,7.75,5.3,4.0
2019-03-12,2468.25,0.0009367624516412,3.2019,7.75,5.3,4.0
2019-03-13,2470.61,0.0009561430163071,3.2019,7.75,5.3,4.0
2019-03-14,2457.79,-0.0051890019064118,3.2019,7.75,5.3,4.0
2019-03-15,2476.73,0.0077061099605744,3.2019,7.75,5.3,4.0
2019-03-18,2483.7,0.0028141945226163,3.2019,7.75,5.3,4.0
2019-03-19,2493.28,0.0038571486089302,3.2019,7.75,5.3,4.0
2019-03-20,2504.23,0.004391805172303,3.2019,7.75,5.3,4.0
2019-03-21,2507.81,0.0014295811486964,3.2019,7.75,5.3,4.0
2019-03-22,2492.7,-0.0060251773459711,3.2019,7.75,5.3,4.0
2019-03-25,2497.59,0.0019617282464798,3.2019,7.75,5.3,4.0
2019-03-26,2512.63,0.0060218050200393,3.2019,7.75,5.3,4.0
2019-03-27,2487.48,-0.010009432347779,3.2019,7.75,5.3,4.0
2019-03-28,2492.4,0.0019779053499928,3.2019,7.75,5.3,4.0
2019-03-29,2497.1,0.0018857326271866,3.2019,7.75,5.3,4.0
2019-04-01,2521.25,0.0096712186135918,4.2019,7.75,5.2,4.0
2019-04-02,2527.77,0.0025860188398612,4.2019,7.75,5.2,4.0
2019-04-03,2532.32,0.0018000055384785,4.2019,7.75,5.2,4.0
2019-04-04,2535.5,0.0012557654640803,4.2019,7.75,5.2,4.0
2019-04-05,2540.99,0.0021652534016958,4.2019,7.75,5.2,4.0
2019-04-08,2560.07,0.0075088843324846,4.2019,7.75,5.2,4.0
2019-04-09,2570.28,0.0039881721984165,4.2019,7.75,5.2,4.0
2019-04-10,2578.58,0.0032292201627837,4.2019,7.75,5.2,4.0
2019-04-11,2551.45,-0.0105212946660565,4.2019,7.75,5.2,4.0
2019-04-12,2559.72,0.0032412941660624,4.2019,7.75,5.2,4.0
2019-04-15,2545.12,-0.0057037488475301,4.2019,7.75,5.2,4.0
2019-04-16,2559.84,0.0057836172754135,4.2019,7.75,5.2,4.0
2019-04-17,2568.26,0.0032892680792548,4.2019,7.75,5.2,4.0
2019-04-18,2560.8,-0.0029046903350906,4.2019,7.75,5.2,4.0
2019-04-19,2563.9,0.0012105592002498,4.2019,7.75,5.2,4.0
2019-04-22,2584.74,0.0081282421311281,4.2019,7.75,5.2,4.0
2019-04-23,2587.48,0.0010600679372008,4.2019,7.75,5.2,4.0
2019-04-24,2579.05,-0.003257996197072,4.2019,7.75,5.2,4.0
