date,date_raw,key_rate,inflation,inflation_target
2019-01-01,1.2019,775,500,400
2019-02-01,2.2019,775,520,400
2019-03-01,3.2019,775,530,400
2019-04-01,4.2019,775,520,400
2019-05-01,5.2019,775,510,400
2019-06-01,6.2019,750,470,400
2019-07-01,7.2019,725,460,400
2019-08-01,8.2019,725,430,400
2019-09-01,9.2019,700,400,400
2019-10-01,10.2019,650,380,400
2019-11-01,11.2019,650,350,400
2019-12-01,12.2019,625,300,400
2020-01-01,1.202,625,240,400
2020-02-01,2.202,600,230,400
2020-03-01,3.202,600,250,400
2020-04-01,4.202,550,310,400
2020-05-01,5.202,550,300,400
2020-06-01,6.202,450,320,400
2020-07-01,7.202,425,340,400
2020-08-01,8.202,425,360,400
2020-09-01,9.202,425,370,400
2020-10-01,10.202,425,400,400
2020-11-01,11.202,425,440,400
2020-12-01,12.202,425,490,400
2021-01-01,1.2021,425,520,400
2021-02-01,2.2021,425,570,400
2021-03-01,3.2021,450,580,400
2021-04-01,4.2021,500,550,400
2021-05-01,5.2021,500,600,400
2021-06-01,6.2021,550,650,400
2021-07-01,7.2021,650,650,400
2021-08-01,8.2021,650,668,400
2021-09-01,9.2021,675,740,400
2021-10-01,10.2021,750,813,400
2021-11-01,11.2021,750,840,400
2021-12-01,12.2021,850,839,400
2022-01-01,1.2022,850,873,400
2022-02-01,2.2022,2000,915,400
2022-03-01,3.2022,2000,1669,400
2022-04-01,4.2022,1700,1783,400
2022-05-01,5.2022,1100,1710,400
2022-06-01,6.2022,950,1590,400
2022-07-01,7.2022,800,1510,400
2022-08-01,8.2022,800,1430,400
2022-09-01,9.2022,750,1368,400
2022-10-01,10.2022,750,1263,400
2022-11-01,11.2022,750,1198,400
2022-12-01,12.2022,750,1194,400
2023-01-01,1.2023,750,1177,400
2023-02-01,2.2023,750,1099,400
2023-03-01,3.2023,750,351,400
2023-04-01,4.2023,750,231,400
2023-05-01,5.2023,750,251,400
2023-06-01,6.2023,750,325,400
2023-07-01,7.2023,850,430,400
2023-08-01,8.2023,1200,515,400
2023-09-01,9.2023,1300,600,400
2023-10-01,10.2023,1500,669,400
2023-11-01,11.2023,1500,748,400
2023-12-01,12.2023,1600,742,400
2024-01-01,1.2024,1600,744,400
2024-02-01,2.2024,1600,769,400
2024-03-01,3.2024,1600,772,400
2024-04-01,4.2024,1600,784,400
2024-05-01,5.2024,1600,830,400
2024-06-01,6.2024,1600,859,400
2024-07-01,7.2024,1800,913,400
2024-08-01,8.2024,1800,905,400
2024-09-01,9.2024,1900,863,400
2024-10-01,10.2024,2100,854,400
2024-11-01,11.2024,2100,888,400
2024-12-01,12.2024,2100,952,400
2025-01-01,1.2025,2100,992,400
2025-02-01,2.2025,2100,1006,400
2025-03-01,3.2025,2100,1034,400
2025-04-01,4.2025,2100,1023,400
2025-05-01,5.2025,2100,988,400
2025-06-01,6.2025,2000,940,400
2025-07-01,7.2025,1800,879,400
2025-08-01,8.2025,1800,814,400
2025-09-01,9.2025,1700,798,400
2025-10-01,10.2025,1650,771,400
2025-11-01,11.2025,1650,664,400
2025-12-01,12.2025,1600,559,400
